Year,Victim Mode,Race/ Ethnicity,Units,Value
2012,,,City of Los Angeles,200
2013,,,City of Los Angeles,201
2014,,,City of Los Angeles,191
2015,,,City of Los Angeles,183
2016,,,City of Los Angeles,253
2017,,,City of Los Angeles,245
2012,Bicyclists,,City of Los Angeles,9
2013,Bicyclists,,City of Los Angeles,17
2014,Bicyclists,,City of Los Angeles,6
2015,Bicyclists,,City of Los Angeles,15
2016,Bicyclists,,City of Los Angeles,21
2017,Bicyclists,,City of Los Angeles,18
2012,Motorcyclists,,City of Los Angeles,35
2013,Motorcyclists,,City of Los Angeles,28
2014,Motorcyclists,,City of Los Angeles,32
2015,Motorcyclists,,City of Los Angeles,34
2016,Motorcyclists,,City of Los Angeles,49
2017,Motorcyclists,,City of Los Angeles,31
2012,Vehicle Occupants,,City of Los Angeles,91
2013,Vehicle Occupants,,City of Los Angeles,87
2014,Vehicle Occupants,,City of Los Angeles,87
2015,Vehicle Occupants,,City of Los Angeles,74
2016,Vehicle Occupants,,City of Los Angeles,115
2017,Vehicle Occupants,,City of Los Angeles,135
2012,Pedestrians,,City of Los Angeles,65
2013,Pedestrians,,City of Los Angeles,69
2014,Pedestrians,,City of Los Angeles,66
2015,Pedestrians,,City of Los Angeles,60
2016,Pedestrians,,City of Los Angeles,68
2017,Pedestrians,,City of Los Angeles,61
2015,,,Los Angeles County,806
2015,,Hispanic or Latino,Los Angeles County,392
2015,,Asian or Pacific Islander,Los Angeles County,65
2015,,Black or African American,Los Angeles County,101
2015,,White (not Hispanic or Latino),Los Angeles County,253
2016,,,Los Angeles County,1025
2016,,Hispanic or Latino,Los Angeles County,504
2016,,Asian or Pacific Islander,Los Angeles County,101
2016,,Black or African American,Los Angeles County,125
2016,,White (not Hispanic or Latino),Los Angeles County,301
2017,,,Los Angeles County,932
2017,,Hispanic or Latino,Los Angeles County,435
2017,,Asian or Pacific Islander,Los Angeles County,88
2017,,Black or African American,Los Angeles County,154
2017,,White (not Hispanic or Latino),Los Angeles County,255
2018,,,Los Angeles County,936
2018,,Hispanic or Latino,Los Angeles County,453
2018,,Asian or Pacific Islander,Los Angeles County,80
2018,,Black or African American,Los Angeles County,144
2018,,White (not Hispanic or Latino),Los Angeles County,258
2019,,,Los Angeles County,896
2019,,Hispanic or Latino,Los Angeles County,448
2019,,Asian or Pacific Islander,Los Angeles County,75
2019,,Black or African American,Los Angeles County,134
2019,,White (not Hispanic or Latino),Los Angeles County,238
