Year,Units,Value
2013,Total Appropriations for the Community Development Trust Fund,26878437
2013,Total Appropriations for the Community Services Block Grant Trust Fund,1519474
2014,Total Appropriations for the Community Development Trust Fund,22495657
2014,Total Appropriations for the Community Services Block Grant Trust Fund,1596503
2015,Total Appropriations for the Community Development Trust Fund,20535490
2015,Total Appropriations for the Community Services Block Grant Trust Fund,1360392
2016,Total Appropriations for the Community Development Trust Fund,21910312
2016,Total Appropriations for the Community Services Block Grant Trust Fund,1460392
2017,Total Appropriations for the Community Development Trust Fund,19407771
2017,Total Appropriations for the Community Services Block Grant Trust Fund,1837449
2018,Total Appropriations for the Community Development Trust Fund,24533183
2018,Total Appropriations for the Community Services Block Grant Trust Fund,1800000
2019,Total Appropriations for the Community Development Trust Fund,21529909
2019,Total Appropriations for the Community Services Block Grant Trust Fund,1591140
2020,Total Appropriations for the Community Development Trust Fund,20444312
2020,Total Appropriations for the Community Services Block Grant Trust Fund,1333627
2021,Total Appropriations for the Community Development Trust Fund,20555446
2021,Total Appropriations for the Community Services Block Grant Trust Fund,2406475
2022,Total Appropriations for the Community Development Trust Fund,195228105
2022,Total Appropriations for the Community Services Block Grant Trust Fund,2320823
2023,Total Appropriations for the Community Development Trust Fund,17059173
2023,Total Appropriations for the Community Services Block Grant Trust Fund,1471501
